datetime,low,high,open,close,volumefrom,volumeto
2017-09-08,0.207,0.2317,0.2298,0.2162,12237171.66,2676253.47
2017-09-09,0.207,0.2169,0.2162,0.2141,4709740.48,1007057.57
2017-09-10,0.2046,0.228,0.2141,0.2203,6871289.83,1485283.48
2017-09-11,0.2075,0.2299,0.2203,0.2162,5900736.05,1284940.31
2017-09-12,0.2058,0.2252,0.2162,0.21,7540254.8,1626954.73
2017-09-13,0.191,0.211,0.21,0.2013,11944034.38,2391033.58
2017-09-14,0.1625,0.2029,0.2013,0.1727,20966563.83,3817569.47
2017-09-15,0.15,0.195,0.1727,0.187,22352461.34,3940942.07
2017-09-16,0.1777,0.196,0.187,0.1844,11929401.45,2231320.44
2017-09-17,0.1733,0.188,0.1844,0.1829,6288867.62,1140626.72
2017-09-18,0.1825,0.1968,0.1829,0.1949,9062645.62,1726734.79
2017-09-19,0.184,0.195,0.1949,0.1849,7078662.87,1328682.02
2017-09-20,0.1804,0.1888,0.1849,0.1814,5727406.16,1058160.93
2017-09-21,0.17,0.1839,0.1814,0.1711,6541318.78,1156705.67
2017-09-22,0.1673,0.1777,0.1711,0.1727,4803231.36,825717.32
2017-09-23,0.1702,0.182,0.1727,0.1782,4958456.76,877648.44
2017-09-24,0.1742,0.1805,0.1782,0.1764,1916093.62,338407.27
2017-09-25,0.175,0.187,0.1764,0.1856,3798115.65,686875.57
2017-09-26,0.1811,0.194,0.1856,0.1885,5925264.46,1114196.55
2017-09-27,0.187,0.215,0.1885,0.2102,15161946.48,3131572.47
2017-09-28,0.197,0.2107,0.2102,0.2021,9806369.64,1994479.79
2017-09-29,0.1877,0.2024,0.2021,0.1964,7115283.91,1390386.73
2017-09-30,0.1951,0.2064,0.1964,0.199,6106168.46,1228054.64
2017-10-01,0.196,0.2097,0.199,0.2074,3826730.06,763263.47
2017-10-02,0.2,0.2094,0.2074,0.203,6486502.75,1321427.62
2017-10-03,0.198,0.2063,0.203,0.2027,4602371.45,927964.31
2017-10-04,0.2015,0.219,0.2027,0.2139,12260488.1,2579409.91
2017-10-05,0.2136,0.2447,0.2139,0.2382,22426174.89,5147469.84
2017-10-06,0.2328,0.244,0.2382,0.2336,11784353.96,2802733.03
2017-10-07,0.232,0.2405,0.2336,0.2387,6056278.08,1425054.55
2017-10-08,0.2377,0.2799,0.2387,0.2775,18624051.96,4844172.78
2017-10-09,0.237,0.2799,0.2775,0.249,19654167.52,5128912.09
2017-10-10,0.2371,0.273,0.249,0.2575,14507530.58,3664636.37
2017-10-11,0.253,0.2695,0.2575,0.263,8166061.24,2129944.93
2017-10-12,0.2459,0.2658,0.263,0.2459,13967721.41,3548053.78
2017-10-13,0.235,0.265,0.2459,0.2589,13600999.73,3384331.7
2017-10-14,0.2549,0.268,0.2589,0.2581,7179825.31,1869999.63
2017-10-15,0.25,0.2689,0.2581,0.2655,7751732.5,2020174.58
2017-10-16,0.25,0.2949,0.2655,0.258,26014807.18,7093232.04
2017-10-17,0.2168,0.266,0.258,0.2289,24805009.11,6018767.17
